物品id,名称,皮肤,类型,贵重,值,说明,,,,,,,,,,,,,,,,,,,,,,,,,,
100,高级飞行旗,100,2010,0,,使用后记录你到过的地方，可多次直接带你飞向目的地。,,,,,,,,,,,,,,,,,,,,,,,,,,
101,百里香,101,111,0,,产于西牛贺州的一种草，散发着怪物喜欢的香味。#r#G使用后可抵消摄妖香效果！,,,,,,,,,,,,,,,,,,,,,,,,,,
102,高级宠物口粮,102,49,0,10,宠物们最爱吃的口粮，可用于补充召唤兽的忠诚度。,,,,,,,,,,,,,,,,,,,,,,,,,,
103,白旗,103,2011,0,,使用后记录你到过的地方，下次可以直接带你飞行。,,,,,,,,,,,,,,,,,,,,,,,,,,
104,蓝旗,104,2011,0,,使用后记录你到过的地方，下次可以直接带你飞行。,,,,,,,,,,,,,,,,,,,,,,,,,,
105,宠物口粮,105,49,0,1,宠物们最爱吃的口粮，可用于补充召唤兽的忠诚度。,,,,,,,,,,,,,,,,,,,,,,,,,,
106,杀人香,106,99,0,,一种非常奇怪的香，来历神秘使用后会让人充满杀气，是杀手经常服用的东西。,,,,,,,,,,,,,,,,,,,,,,,,,,
107,摄妖香,107,88,0,,使用后等级比自己低10级的怪物就会逃之夭夭不在出现。#r#G时效1小时，可重复使用，时间叠加！,,,,,,,,,,,,,,,,,,,,,,,,,,
108,红旗,108,2011,0,,使用后记录你到过的地方，下次可以直接带你飞行。,,,,,,,,,,,,,,,,,,,,,,,,,,
109,黄旗,109,2011,0,,使用后记录你到过的地方，下次可以直接带你飞行。,,,,,,,,,,,,,,,,,,,,,,,,,,
110,绿旗,110,2011,0,,使用后记录你到过的地方，下次可以直接带你飞行。,,,,,,,,,,,,,,,,,,,,,,,,,,
111,礼包,111,100,0,钱=10000,送给朋友最好的礼物打开礼包会获得一定数额的金钱。,,,,,,,,,,,,,,,,,,,,,,,,,,
112,大还丹,112,0,0,HP=3000,用名贵药物炼成的药丹，比小还丹大，紫里透出金色。#r#Y恢复#RHP+3000,,,,,,,,,,,,,,,,,,,,,,,,,,
